folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	CowboyShack	Landmark trailhead	35.4736222222222	-105.926583333333	https://c1.staticflickr.com/1/762/32382939554_f122dab000_q.jpg	https://www.flickr.com/photos/139088815@N08/32382939554/in/album-72157680990441155	2017:03:01 12:31:12	https://c1.staticflickr.com/1/762/32382939554_f122dab000_n.jpg			orange
Folder1	WorkingWindmill	Wind turns into water	35.4734416666667	-105.927283333333	https://c1.staticflickr.com/1/683/33098964671_61f549bb2b_q.jpg	https://www.flickr.com/photos/139088815@N08/33098964671/in/album-72157680990441155	2017:03:01 12:32:54	https://c1.staticflickr.com/1/683/33098964671_61f549bb2b_n.jpg			orange
Folder1	WhiteWhale	The alleged White Whale Rock	35.4766666666667	-105.935172222222	https://c1.staticflickr.com/4/3892/33070477962_0c0312ec27_q.jpg	https://www.flickr.com/photos/139088815@N08/33070477962/in/album-72157680990441155	2017:03:01 12:51:25	https://c1.staticflickr.com/4/3892/33070477962_0c0312ec27_n.jpg			orange
Folder1	BlowHole	The White Whale's Blow-hole	35.4770444444444	-105.935097222222	https://c1.staticflickr.com/4/3906/32382948894_1c3003d951_q.jpg	https://www.flickr.com/photos/139088815@N08/32382948894/in/album-72157680990441155	2017:03:01 12:53:56	https://c1.staticflickr.com/4/3906/32382948894_1c3003d951_n.jpg			orange
Folder1	SanPedroSandia	Panorama of the San Pedros and Sandia	35.4791611111111	-105.93445	https://c1.staticflickr.com/3/2896/32412340253_9a05e55db6_q.jpg	https://www.flickr.com/photos/139088815@N08/32412340253/in/album-72157680990441155	2017:03:01 13:02:15	https://c1.staticflickr.com/3/2896/32412340253_9a05e55db6_n.jpg			orange
Folder1	SangreView	Southern end of the Sangre de Cristos	35.4842638888889	-105.930138888889	https://c1.staticflickr.com/1/684/32382931884_0e2c03b37a_q.jpg	https://www.flickr.com/photos/139088815@N08/32382931884/in/album-72157680990441155	2017:03:01 13:27:05	https://c1.staticflickr.com/1/684/32382931884_0e2c03b37a_n.jpg			orange
