desc	name	album-link	date	n-size
IceCaveView	Ice above and ice below	https://www.flickr.com/photos/139088815@N08/27212704672/in/album-72157668605933682	2014:04:17 14:19:39	https://c1.staticflickr.com/8/7392/27212704672_7b7a2a6da0_n.jpg
IceCaveFloor	Solid water with a greenish glow	https://www.flickr.com/photos/139088815@N08/27212713072/in/album-72157668605933682	2014:04:17 14:19:53	https://c1.staticflickr.com/8/7313/27212713072_7289799774_n.jpg
GoingUpTheTrail	The hike up the Bandera flow	https://www.flickr.com/photos/139088815@N08/26702585114/in/album-72157668605933682	2014:04:17 13:25:15	https://c3.staticflickr.com/8/7437/26702585114_3a6fff5a6b_n.jpg
FromVisitorCenter	Starting the adventure	https://www.flickr.com/photos/139088815@N08/26702602054/in/album-72157668605933682	2014:04:17 13:00:45	https://c7.staticflickr.com/8/7722/26702602054_4604a95154_n.jpg
CraterEnRoute	One large crater in the Bandera flow	https://www.flickr.com/photos/139088815@N08/27034652980/in/album-72157668605933682	2014:04:17 13:26:53	https://c5.staticflickr.com/8/7572/27034652980_195fbb88d8_n.jpg
CaveEntrance	Staircase provided for tourists	https://www.flickr.com/photos/139088815@N08/27276454196/in/album-72157668605933682	2014:04:17 14:17:04	https://c5.staticflickr.com/8/7136/27276454196_a6bcc7b792_n.jpg
BanderaFlow	Lava from the Bandera flow	https://www.flickr.com/photos/139088815@N08/27212776782/in/album-72157668605933682	2014:04:17 14:06:26	https://c7.staticflickr.com/8/7422/27212776782_edecae5e23_n.jpg
