folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size	
Folder1	IMG_20170613_084315	On the way up	35.746375	-105.8328027778	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_n.jpg	https://www.flickr.com/photos/30474783@N06/34903648780/in/album-72157682022052714	2017:06:13 08:43:16	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_n.jpg			pink	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_c.jpg	https://c1.staticflickr.com/5/4231/34903648780_d8c0fc2a5b_h.jpg	https://c1.staticflickr.com/5/4231/34903648780_0fcef69996_k.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_b.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031.jpg	https://c1.staticflickr.com/5/4231/34903648780_eedd74f2e9_o.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_q.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_m.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_s.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_t.jpg	https://c1.staticflickr.com/5/4231/34903648780_6df9bd8031_z.jpg	2017:06:13 14:43:10
Folder1	IMG_20170613_090053	Dam	35.7462166667	-105.8288361111	https://c1.staticflickr.com/5/4220/34447399344_462e486424_n.jpg	https://www.flickr.com/photos/30474783@N06/34447399344/in/album-72157682022052714	2017:06:13 09:00:54	https://c1.staticflickr.com/5/4220/34447399344_462e486424_n.jpg			pink	https://c1.staticflickr.com/5/4220/34447399344_462e486424_c.jpg	https://c1.staticflickr.com/5/4220/34447399344_be33ab5f97_h.jpg	https://c1.staticflickr.com/5/4220/34447399344_ce63aa4a8d_k.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_b.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424.jpg	https://c1.staticflickr.com/5/4220/34447399344_88a3f07b9f_o.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_q.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_m.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_s.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_t.jpg	https://c1.staticflickr.com/5/4220/34447399344_462e486424_z.jpg	2017:06:13 15:0:53
Folder1	IMG_20170613_092151	View to Sandia	35.7482805556	-105.8262416667	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_n.jpg	https://www.flickr.com/photos/30474783@N06/34447415374/in/album-72157682022052714	2017:06:13 09:21:52	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_n.jpg			pink	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_c.jpg	https://c1.staticflickr.com/5/4284/34447415374_d505da92c9_h.jpg	https://c1.staticflickr.com/5/4284/34447415374_6c0f6e309a_k.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_b.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b.jpg	https://c1.staticflickr.com/5/4284/34447415374_890fc8302a_o.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_q.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_m.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_s.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_t.jpg	https://c1.staticflickr.com/5/4284/34447415374_ba8f2b8c0b_z.jpg	2017:06:13 15:21:42
Folder1	IMG_20170613_095112	Bushwacking attempt to see falls	35.7479	-105.8270083333	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_n.jpg	https://www.flickr.com/photos/30474783@N06/34447425904/in/album-72157682022052714	2017:06:13 09:51:13	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_n.jpg			pink	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_c.jpg	https://c1.staticflickr.com/5/4227/34447425904_25528efc26_h.jpg	https://c1.staticflickr.com/5/4227/34447425904_64704270a7_k.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_b.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911.jpg	https://c1.staticflickr.com/5/4227/34447425904_18979a3fdb_o.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_q.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_m.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_s.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_t.jpg	https://c1.staticflickr.com/5/4227/34447425904_6f2cdf6911_z.jpg	2017:06:13 15:51:12
Folder1	IMG_20170613_100958	Looking up the trail at a key waypoint	35.7468277778	-105.8311	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_n.jpg	https://www.flickr.com/photos/30474783@N06/35161380081/in/album-72157682022052714	2017:06:13 10:09:59	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_n.jpg			pink	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_c.jpg	https://c1.staticflickr.com/5/4281/35161380081_acf0c35aa6_h.jpg	https://c1.staticflickr.com/5/4281/35161380081_96d5ccd779_k.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_b.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c.jpg	https://c1.staticflickr.com/5/4281/35161380081_08b74ccfe5_o.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_q.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_m.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_s.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_t.jpg	https://c1.staticflickr.com/5/4281/35161380081_45a14bb82c_z.jpg	2017:06:13 16:9:57
Folder1	IMG_20170613_101604	Looking down the trail at a key waypoint	35.7467583333	-105.8310055556	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_n.jpg	https://www.flickr.com/photos/30474783@N06/34481219473/in/album-72157682022052714	2017:06:13 10:16:05	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_n.jpg			pink	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_c.jpg	https://c1.staticflickr.com/5/4199/34481219473_7a083a977e_h.jpg	https://c1.staticflickr.com/5/4199/34481219473_8c1dcec34e_k.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_b.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55.jpg	https://c1.staticflickr.com/5/4199/34481219473_01b5f8c626_o.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_q.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_m.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_s.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_t.jpg	https://c1.staticflickr.com/5/4199/34481219473_6897ee2f55_z.jpg	2017:06:13 16:15:57
Folder1	Waypoint1	Reported Purported location of falls	35.748099	-105.825251							red												
