folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	WinterWorthy	Ready for a snowy hike	35.733933333	-105.862516666	https://c7.staticflickr.com/8/7503/27295030694_487bf861cc.jpg	https://www.flickr.com/photos/139088815@N08/27295030694/in/photostream/	2016:01:04 16:22:48	https://c7.staticflickr.com/8/7503/27295030694_487bf861cc_n.jpg
Folder1	WinterVersion	Same place, different time!	35.7426872222222	-105.858291611111	https://c7.staticflickr.com/8/7127/27872535606_9a2142e255.jpg	https://www.flickr.com/photos/139088815@N08/27872535606/in/photostream/	2016:01:08 16:05:57	https://c7.staticflickr.com/8/7127/27872535606_9a2142e255_n.jpg
Folder1	WinterTrip	Heading back on a snowy day	35.7298049722222	-105.865608194444	https://c3.staticflickr.com/8/7626/27806067682_32b2f4974e.jpg	https://www.flickr.com/photos/139088815@N08/27806067682/in/photostream/	2016:01:08 15:28:22	https://c3.staticflickr.com/8/7626/27806067682_32b2f4974e_n.jpg
Folder1	JackBlazesTheTrail	Jack takes the lead on Chamisa	35.7312408333333	-105.8649025	https://c5.staticflickr.com/8/7500/27806040252_9f507083f9.jpg	https://www.flickr.com/photos/139088815@N08/27806040252/in/photostream/	2016:03:27 12:32:29	https://c5.staticflickr.com/8/7500/27806040252_9f507083f9_n.jpg
Folder1	Decisions	Which way to go?	35.7427472222222	-105.8581625	https://c7.staticflickr.com/8/7439/27295044574_4254e17081.jpg	https://www.flickr.com/photos/139088815@N08/27295044574/in/photostream/	2016:03:20 14:43:10	https://c7.staticflickr.com/8/7439/27295044574_4254e17081_n.jpg
Folder1	ClosingTheLoop	Summer's return path	35.7299916666667	-105.865491666667	https://c7.staticflickr.com/8/7450/27806051982_f7918d4a43.jpg	https://www.flickr.com/photos/139088815@N08/27806051982/in/photostream/	2016:05:20 14:39:02	https://c7.staticflickr.com/8/7450/27806051982_f7918d4a43_n.jpg
Folder1	BillInTheValley	Bill explores the beautiful valley	35.7327611111111	-105.864258333333	https://c1.staticflickr.com/8/7309/27872545616_531117cd93.jpg	https://www.flickr.com/photos/139088815@N08/27872545616/in/photostream/	2015:07:23 12:04:29	https://c1.staticflickr.com/8/7309/27872545616_531117cd93_n.jpg
