desc	name	album-link	date	n-size
NMBlueSky	Dark blue skies against hoodoos	https://www.flickr.com/photos/139088815@N08/26448818263/in/album-72157667761292860	2014:08:14 13:36:22	https://c8.staticflickr.com/8/7436/26448818263_ea948b2878_n.jpg
InTheBeginning	Near the access point	https://www.flickr.com/photos/139088815@N08/26448831993/in/album-72157667761292860	2014:08:14 13:31:11	https://c2.staticflickr.com/8/7029/26448831993_68a1891a34_n.jpg
IndianPaintbrush	Other beauty in the desert	https://www.flickr.com/photos/139088815@N08/26984058161/in/album-72157667761292860	2014:08:14 14:20:50	https://c2.staticflickr.com/8/7350/26984058161_a02e753fed_n.jpg
HoodooHill	Closeup wherever you want	https://www.flickr.com/photos/139088815@N08/26984065531/in/album-72157667761292860	2014:08:14 14:08:44	https://c4.staticflickr.com/8/7581/26984065531_41bbb38cfe_n.jpg
HikersView	It keeps going!	https://www.flickr.com/photos/139088815@N08/26958123752/in/album-72157667761292860	2014:08:14 14:25:15	https://c1.staticflickr.com/8/7062/26958123752_917edc4c55_n.jpg
AlongTheWash	The Green and the Gray	https://www.flickr.com/photos/139088815@N08/26958128782/in/album-72157667761292860	2014:08:14 14:11:32	https://c7.staticflickr.com/8/7683/26958128782_1f88782bff_n.jpg
