folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	ViewThruBurn	Cladera thru burned trees	35.8459166666667	-106.462233333333	https://c7.staticflickr.com/8/7375/27852043926_1fb247f72f.jpg	https://www.flickr.com/photos/139088815@N08/27852043926/in/photostream/	2016:06:23 11:38:41	https://c7.staticflickr.com/8/7375/27852043926_1fb247f72f_n.jpg
Folder1	RaodsideTrailhead	A look at Rabbit Ridge from the trail head	35.8481861111111	-106.465263888889	https://c5.staticflickr.com/8/7289/27608712980_4739d50cdb.jpg	https://www.flickr.com/photos/139088815@N08/27608712980/in/photostream/	2016:06:23 11:08:38	https://c5.staticflickr.com/8/7289/27608712980_4739d50cdb_n.jpg
Folder1	LowBurnMarks	Aspens bear the marks of low burns	35.8452027777778	-106.465483333333	https://c7.staticflickr.com/8/7411/27852055206_d716ca89e9.jpg	https://www.flickr.com/photos/139088815@N08/27852055206/in/photostream/	2016:06:23 11:19:59	https://c7.staticflickr.com/8/7411/27852055206_d716ca89e9_n.jpg
Folder1	EasternCaldera	The eastern edge of the Caldera from the loop terminus	35.8482777777778	-106.451186111111	https://c7.staticflickr.com/8/7305/27785685982_a429005a12.jpg	https://www.flickr.com/photos/139088815@N08/27785685982/in/photostream/	2016:06:23 12:03:05	https://c7.staticflickr.com/8/7305/27785685982_a429005a12_n.jpg
Folder1	Devastation	Results from Las Conchas fire are everywhere	35.8441694444444	-106.465483333333	https://c7.staticflickr.com/8/7356/27785701302_ba4509bbbe.jpg	https://www.flickr.com/photos/139088815@N08/27785701302/in/photostream/	2016:06:23 11:23:10	https://c7.staticflickr.com/8/7356/27785701302_ba4509bbbe_n.jpg
Folder1	BeforeFire	Before the fire, lots of shade!	35.84888333	-106.46135	https://c1.staticflickr.com/8/7288/27608768200_1f404a72bc.jpg	https://www.flickr.com/photos/139088815@N08/27608768200/in/photostream/	2009:05:19 17:41:59	https://c1.staticflickr.com/8/7288/27608768200_1f404a72bc_n.jpg
Folder1	AscendingView	Looking over the Caldera as the climb begins	35.845975	-106.466025	https://c2.staticflickr.com/8/7615/27274460833_0e1f23d63e.jpg	https://www.flickr.com/photos/139088815@N08/27274460833/in/photostream/	2016:06:23 11:18:25	https://c2.staticflickr.com/8/7615/27274460833_0e1f23d63e_n.jpg
