folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	TomAndOtowi	Otowi Peak and Tom	35.84243889	-106.1494667	https://c7.staticflickr.com/8/7191/27632884102_456153312b.jpg	https://www.flickr.com/photos/139088815@N08/27632884102/in/photostream/	2015:11:12 13:21:50	https://c7.staticflickr.com/8/7191/27632884102_456153312b_n.jpg			orange
Folder1	SangreDeCristos	Always a beautiful sight 	35.843075	-106.14705	https://c2.staticflickr.com/8/7652/27122969953_e78ae38ed3.jpg	https://www.flickr.com/photos/139088815@N08/27122969953/in/photostream/	2015:11:12 13:13:24	https://c2.staticflickr.com/8/7652/27122969953_e78ae38ed3_n.jpg			orange
Folder1	RioGrandeView	Looking into the White Canyon	35.84233889	-106.1495972	https://c7.staticflickr.com/8/7304/27632895342_c1e8592867.jpg	https://www.flickr.com/photos/139088815@N08/27632895342/in/photostream/	2015:11:12 13:20:49	https://c7.staticflickr.com/8/7304/27632895342_c1e8592867_n.jpg			orange
Folder1	OtowiOnTheRiver	A preview of the climb	35.83616667	-106.1610028	https://c1.staticflickr.com/8/7542/27699697656_f9fc411d0d.jpg	https://www.flickr.com/photos/139088815@N08/27699697656/in/photostream/	2015:11:12 11:09:18	https://c1.staticflickr.com/8/7542/27699697656_f9fc411d0d_n.jpg			orange
Folder1	MesaFingers	Where the hike ascends the mesa	35.84141667	-106.1491778	https://c8.staticflickr.com/8/7345/27658923031_39f307681d.jpg	https://www.flickr.com/photos/139088815@N08/27658923031/in/photostream/	2015:11:12 13:59:55	https://c8.staticflickr.com/8/7345/27658923031_39f307681d_n.jpg			orange
Folder1	MesaEdge	No trails but great views on the rim	35.84940833	-106.1471111	https://c2.staticflickr.com/8/7054/27123003913_ecfdba0a25.jpg	https://www.flickr.com/photos/139088815@N08/27123003913/in/photostream/	2015:12:03 12:53:19	https://c2.staticflickr.com/8/7054/27123003913_ecfdba0a25_n.jpg			orange
Folder1	ArroyoView	Looking up from the deep arroyo	35.83652222	-106.1547083	https://c5.staticflickr.com/8/7429/27632919732_be7cf76991.jpg	https://www.flickr.com/photos/139088815@N08/27632919732/in/photostream/	2015:11:12 11:29:00	https://c5.staticflickr.com/8/7429/27632919732_be7cf76991_n.jpg			orange
