folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size
Folder1	ABQView	"A rugged mountain up close"	35.2094027778	-106.449647222	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_n.jpg	https://www.flickr.com/photos/139088815@N08/34653521874/in/album-72157682479852684	"2017:06:21 10:18:27"	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_n.jpg			pink	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_c.jpg	https://c1.staticflickr.com/5/4290/34653521874_19164b3435_h.jpg	https://c1.staticflickr.com/5/4290/34653521874_53c0c86006_k.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_b.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa.jpg	https://c1.staticflickr.com/5/4290/34653521874_7b81842572_o.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_q.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_m.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_s.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_t.jpg	https://c1.staticflickr.com/5/4290/34653521874_107a60f6aa_z.jpg	"2017:06:21 16:18:27"
Folder1	SandiaSpires	"A rugged mountain up close"	35.2090222222	-106.449516667	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_n.jpg	https://www.flickr.com/photos/139088815@N08/35454947926/in/album-72157682479852684	"2017:06:21 10:19:49"	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_n.jpg			pink	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_c.jpg	https://c1.staticflickr.com/5/4279/35454947926_88c43f515f_h.jpg	https://c1.staticflickr.com/5/4279/35454947926_2e5fef07c5_k.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_b.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5.jpg	https://c1.staticflickr.com/5/4279/35454947926_92ab9bf81b_o.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_q.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_m.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_s.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_t.jpg	https://c1.staticflickr.com/5/4279/35454947926_9b5b2ef0a5_z.jpg	"2017:06:21 19:31:45"
Folder1	MoreBeauty	"A wide variety of colors grace the trail"	35.209	-106.449469444	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_n.jpg	https://www.flickr.com/photos/139088815@N08/34684611083/in/album-72157682479852684	"2017:06:21 10:25:51"	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_n.jpg			pink	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_c.jpg	https://c1.staticflickr.com/5/4218/34684611083_ce9621836e_h.jpg	https://c1.staticflickr.com/5/4218/34684611083_e540374c55_k.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_b.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6.jpg	https://c1.staticflickr.com/5/4218/34684611083_7eef6889a7_o.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_q.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_m.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_s.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_t.jpg	https://c1.staticflickr.com/5/4218/34684611083_457bc92cb6_z.jpg	"2017:06:21 18:34:12"
Folder1	OnTheEdge	"Steep but not precarious"	35.2078222222	-106.448411111	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_n.jpg	https://www.flickr.com/photos/139088815@N08/35363779081/in/album-72157682479852684	"2017:06:21 10:31:30"	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_n.jpg			pink	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_c.jpg	https://c1.staticflickr.com/5/4280/35363779081_8770037ad0_h.jpg	https://c1.staticflickr.com/5/4280/35363779081_db9d9006a8_k.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_b.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed.jpg	https://c1.staticflickr.com/5/4280/35363779081_8e9d42a575_o.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_q.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_m.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_s.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_t.jpg	https://c1.staticflickr.com/5/4280/35363779081_56f97af5ed_z.jpg	"2017:06:21 17:6:27"
Folder1	LaLuzView	"The cliff on which the cabin resides"	35.2026722222	-106.440277778	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_n.jpg	https://www.flickr.com/photos/139088815@N08/34653513424/in/album-72157682479852684	"2017:06:21 11:06:27"	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_n.jpg			pink	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_c.jpg	https://c1.staticflickr.com/5/4255/34653513424_ab56afd2db_h.jpg	https://c1.staticflickr.com/5/4255/34653513424_e2b7d442ea_k.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_b.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25.jpg	https://c1.staticflickr.com/5/4255/34653513424_f70fa3807b_o.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_q.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_m.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_s.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_t.jpg	https://c1.staticflickr.com/5/4255/34653513424_a0dac05d25_z.jpg	"2017:06:21 16:25:51"
Folder1	NearCabin	"On the way to Kiwanis Cabin"	35.2039805556	-106.441458333	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_n.jpg	https://www.flickr.com/photos/139088815@N08/34684612713/in/album-72157682479852684	"2017:06:21 12:29:50"	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_n.jpg			pink	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_c.jpg	https://c1.staticflickr.com/5/4212/34684612713_8ec204cb4e_h.jpg	https://c1.staticflickr.com/5/4212/34684612713_1a8f478a07_k.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_b.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0.jpg	https://c1.staticflickr.com/5/4212/34684612713_9afc28986b_o.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_q.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_m.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_s.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_t.jpg	https://c1.staticflickr.com/5/4212/34684612713_078ec372e0_z.jpg	"2017:06:21 18:29:50"
Folder1	Kiwanis	"The Kiwani's Cabin"	35.2034833333	-106.443230556	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_n.jpg	https://www.flickr.com/photos/139088815@N08/34653516134/in/album-72157682479852684	"2017:06:21 12:34:12"	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_n.jpg			pink	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_c.jpg	https://c1.staticflickr.com/5/4214/34653516134_c3f63ac053_h.jpg	https://c1.staticflickr.com/5/4214/34653516134_f6fc557380_k.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_b.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e.jpg	https://c1.staticflickr.com/5/4214/34653516134_78d2dbf08a_o.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_q.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_m.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_s.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_t.jpg	https://c1.staticflickr.com/5/4214/34653516134_49230bae0e_z.jpg	"2017:06:21 16:31:29"
Folder1	FlowersAbound	"Beauty on top of the world"	35.2095972222	-106.448744444	https://c1.staticflickr.com/5/4237/35363800951_410f770434_n.jpg	https://www.flickr.com/photos/139088815@N08/35363800951/in/album-72157682479852684	"2017:06:21 13:31:46"	https://c1.staticflickr.com/5/4237/35363800951_410f770434_n.jpg			pink	https://c1.staticflickr.com/5/4237/35363800951_410f770434_c.jpg	https://c1.staticflickr.com/5/4237/35363800951_1d2324c954_h.jpg	https://c1.staticflickr.com/5/4237/35363800951_fe35938a17_k.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_b.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434.jpg	https://c1.staticflickr.com/5/4237/35363800951_66a9689bfb_o.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_q.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_m.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_s.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_t.jpg	https://c1.staticflickr.com/5/4237/35363800951_410f770434_z.jpg	"2017:06:21 16:19:49"
