folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	TowardsSunMtn	View of Sun Mountain from Atalaya	35.6644694444444	-105.877258333333	https://c1.staticflickr.com/8/7292/27231343720_d74ffd729a.jpg	https://www.flickr.com/photos/139088815@N08/27231343720/in/photostream/	2016:05:31 09:59:55	https://c1.staticflickr.com/8/7292/27231343720_d74ffd729a_n.jpg
Folder1	OverlookingSandia	Looking south to the Sandias	35.6674333333333	-105.876638888889	https://c3.staticflickr.com/8/7416/27473357626_efa05b45fb.jpg	https://www.flickr.com/photos/139088815@N08/27473357626/in/photostream/	2016:05:31 09:39:53	https://c3.staticflickr.com/8/7416/27473357626_efa05b45fb_n.jpg
Folder1	DonWTomAtSummit	Don and Tom pause for a break at the top	35.6677555555556	-105.876472222222	https://c2.staticflickr.com/8/7282/27435733881_fd10c0ffbc.jpg	https://www.flickr.com/photos/139088815@N08/27435733881/in/photostream/	2016:05:31 09:14:28	https://c2.staticflickr.com/8/7282/27435733881_fd10c0ffbc_n.jpg
