folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	Southward	Scenic views looking south	35.6224972222222	-105.850538888889	https://c4.staticflickr.com/8/7370/27653390411_f05f898139.jpg	https://www.flickr.com/photos/139088815@N08/27653390411/in/photostream/	2016:04:14 10:56:47	https://c4.staticflickr.com/8/7370/27653390411_f05f898139_n.jpg
Folder1	ShaggyPeak	Tom with appropriately named Shaggy Peak	35.62205	-105.842766666667	https://c5.staticflickr.com/8/7483/27627355972_e4685090f4.jpg	https://www.flickr.com/photos/139088815@N08/27627355972/in/photostream/	2016:04:14 11:43:40	https://c5.staticflickr.com/8/7483/27627355972_e4685090f4_n.jpg
Folder1	HighPeaks	In the distance, bigger peaks of the Sangre de Cristo	35.6340094444444	-105.845579166667	https://c1.staticflickr.com/8/7292/27694168456_d1dda6a623.jpg	https://www.flickr.com/photos/139088815@N08/27694168456/in/photostream/	2016:04:14 13:26:18	https://c1.staticflickr.com/8/7292/27694168456_d1dda6a623_n.jpg
Folder1	FromTrailhead	The trail begins down the road	35.618325	-106.010872222222	https://c5.staticflickr.com/8/7208/27694199916_f8bd697729.jpg	https://www.flickr.com/photos/139088815@N08/27694199916/in/photostream/	2016:04:14 10:33:30	https://c5.staticflickr.com/8/7208/27694199916_f8bd697729_n.jpg
Folder1	ForestRoadTrail	Blue skies and forest road	35.6214825	-105.846491388889	https://c6.staticflickr.com/8/7566/27653401221_4365d01d37.jpg	https://www.flickr.com/photos/139088815@N08/27653401221/in/photostream/	2016:04:14 11:29:02	https://c6.staticflickr.com/8/7566/27653401221_4365d01d37_n.jpg
Folder1	CanyonCreek	Water in the canyon	35.6220538888889	-105.839200555556	https://c1.staticflickr.com/8/7290/27449903280_0879846835.jpg	https://www.flickr.com/photos/139088815@N08/27449903280/in/photostream/	2016:04:14 11:51:03	https://c1.staticflickr.com/8/7290/27449903280_0879846835_n.jpg
Folder1	AForkInTheRoad	Trail departs from the road to head towards the canyon	35.6216916666667	-105.843886111111	https://c5.staticflickr.com/8/7410/27627369052_c1c06256e9.jpg	https://www.flickr.com/photos/139088815@N08/27627369052/in/photostream/	2016:04:14 11:39:03	https://c5.staticflickr.com/8/7410/27627369052_c1c06256e9_n.jpg
