folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	BlackPeak	The authors on Black	35.132509	-106.772752	https://c7.staticflickr.com/8/7727/26639927430_b9ed8ffb40_m.jpg	https://www.flickr.com/photos/139088815@N08/26639927430/in/photostream/	2016:01:28 12:09:56	https://c7.staticflickr.com/8/7727/26639927430_b9ed8ffb40_n.jpg
Folder1	VulcanFromBlack	Looking to Vulcan from Black's peak	35.1327716140694	-106.772268970792	https://c6.staticflickr.com/8/7243/26845348701_33e4a29172_m.jpg	https://www.flickr.com/photos/139088815@N08/26845348701/in/photostream/	2016:01:28 12:19:23	https://c6.staticflickr.com/8/7243/26845348701_33e4a29172_n.jpg
Folder1	Vulcan_Up_Close	Bill Approaches Vulcan	35.1401222222222	-106.770141666667	https://c3.staticflickr.com/2/1467/24049406394_30ccba8aab_m.jpg	https://www.flickr.com/photos/139088815@N08/24049406394/in/photostream/	2016:01:28 11:43:43	https://c3.staticflickr.com/2/1467/24049406394_30ccba8aab_n.jpg
Folder1	Bond_and_Butte	North of the 3 sisters: Bond Cone and Butte Cone	35.1425972222222	-106.771630555556	https://c7.staticflickr.com/2/1450/24382028390_ba7d275270_m.jpg	https://www.flickr.com/photos/139088815@N08/24382028390/in/photostream/	2016:01:28 11:56:27	https://c7.staticflickr.com/2/1450/24382028390_ba7d275270_n.jpg
