desc	name	album-link	date	n-size
PonderosaKid	Ponderosas supplement the maples	https://www.flickr.com/photos/139088815@N08/27981569035/in/album-72157670395400435	2014:10:30 14:17:10	https://c4.staticflickr.com/8/7628/27981569035_1f8923ed08_n.jpg
EarlyTasteOfFall	Too early for full autumn, but a taste	https://www.flickr.com/photos/139088815@N08/27879760302/in/album-72157670395400435	2014:10:30 15:04:20	https://c7.staticflickr.com/8/7300/27879760302_ae578ba53e_n.jpg
Connector	Connector from Fourth of July	https://www.flickr.com/photos/139088815@N08/27368625204/in/album-72157670395400435	2014:10:30 14:20:57	https://c5.staticflickr.com/8/7575/27368625204_31605ff6ae_n.jpg
BehindMonzanos	A lovely east-side view of the Monzanos	https://www.flickr.com/photos/139088815@N08/27367947513/in/album-72157670395400435	2014:09:19 18:49:05	https://c2.staticflickr.com/8/7391/27367947513_be3985228e_n.jpg
AlligatorJuniper	The distincitve alligator juniper bark	https://www.flickr.com/photos/139088815@N08/27367937663/in/album-72157670395400435	2014:10:30 15:00:36	https://c8.staticflickr.com/8/7581/27367937663_9f41fe762d_n.jpg
