folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size	
Folder1	IMG_20170617_083400	One of several human shelters	35.75757	-105.81135	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_n.jpg	https://www.flickr.com/photos/30474783@N06/35445724245/in/album-72157682273620622		https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_n.jpg			pink	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_c.jpg	https://c1.staticflickr.com/5/4263/35445724245_1ee2a84404_h.jpg	https://c1.staticflickr.com/5/4263/35445724245_77b83e55b5_k.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_b.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7.jpg	https://c1.staticflickr.com/5/4263/35445724245_3b71e537da_o.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_q.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_m.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_s.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_t.jpg	https://c1.staticflickr.com/5/4263/35445724245_b8fdbef1e7_z.jpg	12:00:00 AM
Folder1	IMG_20170617_085603	Round the rocky bend	35.7567305556	-105.8095777778	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_n.jpg	https://www.flickr.com/photos/30474783@N06/34635939743/in/album-72157682273620622		https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_n.jpg			pink	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_c.jpg	https://c1.staticflickr.com/5/4234/34635939743_9f45c5896e_h.jpg	https://c1.staticflickr.com/5/4234/34635939743_631bbde25c_k.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_b.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9.jpg	https://c1.staticflickr.com/5/4234/34635939743_b7b7fc7818_o.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_q.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_m.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_s.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_t.jpg	https://c1.staticflickr.com/5/4234/34635939743_608fc6a6f9_z.jpg	12:00:00 AM
Folder1	IMG_20170617_085610	Downed tree	35.7567305556	-105.8095777778	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_n.jpg	https://www.flickr.com/photos/30474783@N06/35445704675/in/album-72157682273620622		https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_n.jpg			pink	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_c.jpg	https://c1.staticflickr.com/5/4254/35445704675_fea1865341_h.jpg	https://c1.staticflickr.com/5/4254/35445704675_b48a4cbfdc_k.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_b.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f.jpg	https://c1.staticflickr.com/5/4254/35445704675_e071bac108_o.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_q.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_m.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_s.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_t.jpg	https://c1.staticflickr.com/5/4254/35445704675_205f7cb09f_z.jpg	12:00:00 AM
Folder1	IMG_20170617_085622	Where to from here?	35.7567305556	-105.8095777778	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_n.jpg	https://www.flickr.com/photos/30474783@N06/35279156242/in/album-72157682273620622		https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_n.jpg			pink	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_c.jpg	https://c1.staticflickr.com/5/4261/35279156242_286072385d_h.jpg	https://c1.staticflickr.com/5/4261/35279156242_d4f811e034_k.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_b.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20.jpg	https://c1.staticflickr.com/5/4261/35279156242_34ea0ae6f5_o.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_q.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_m.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_s.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_t.jpg	https://c1.staticflickr.com/5/4261/35279156242_3e1d6daf20_z.jpg	12:00:00 AM
Folder1	IMG_20170617_090803	View toward Santa Fe	35.7565972222	-105.8094777778	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_n.jpg	https://www.flickr.com/photos/30474783@N06/35316004651/in/album-72157682273620622		https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_n.jpg			pink	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_c.jpg	https://c1.staticflickr.com/5/4198/35316004651_a20f8c66ba_h.jpg	https://c1.staticflickr.com/5/4198/35316004651_1c4c717c69_k.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_b.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c.jpg	https://c1.staticflickr.com/5/4198/35316004651_fb54aaac9d_o.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_q.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_m.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_s.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_t.jpg	https://c1.staticflickr.com/5/4198/35316004651_d3ecde309c_z.jpg	12:00:00 AM
Folder1	IMG_20170617_091608	Split tree with natural dowel	35.7575888889	-105.8076111111	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_n.jpg	https://www.flickr.com/photos/30474783@N06/35445680375/in/album-72157682273620622		https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_n.jpg			pink	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_c.jpg	https://c1.staticflickr.com/5/4290/35445680375_e07c5a8683_h.jpg	https://c1.staticflickr.com/5/4290/35445680375_367bb78807_k.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_b.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6.jpg	https://c1.staticflickr.com/5/4290/35445680375_b5bde1833c_o.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_q.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_m.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_s.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_t.jpg	https://c1.staticflickr.com/5/4290/35445680375_a2bc4e1fc6_z.jpg	12:00:00 AM
Folder1	IMG_20170617_091708	Split tree other half	35.7576055556	-105.8076305556	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_n.jpg	https://www.flickr.com/photos/30474783@N06/35445673855/in/album-72157682273620622		https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_n.jpg			pink	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_c.jpg	https://c1.staticflickr.com/5/4283/35445673855_4fc08cd66b_h.jpg	https://c1.staticflickr.com/5/4283/35445673855_24f2602ea9_k.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_b.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421.jpg	https://c1.staticflickr.com/5/4283/35445673855_9b76242bdb_o.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_q.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_m.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_s.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_t.jpg	https://c1.staticflickr.com/5/4283/35445673855_f1633b0421_z.jpg	12:00:00 AM
Folder1	IMG_20170617_115118	NGS Marker	35.7601583333	-105.8116361111	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_n.jpg	https://www.flickr.com/photos/30474783@N06/35445667555/in/album-72157682273620622		https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_n.jpg			pink	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_c.jpg	https://c1.staticflickr.com/5/4289/35445667555_5787ed989d_h.jpg	https://c1.staticflickr.com/5/4289/35445667555_29023cdb30_k.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_b.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f.jpg	https://c1.staticflickr.com/5/4289/35445667555_cfc68a4be2_o.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_q.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_m.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_s.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_t.jpg	https://c1.staticflickr.com/5/4289/35445667555_851e9f748f_z.jpg	12:00:00 AM
Folder1	IMG_20170617_115125	Back to the car	35.7601583333	-105.8116361111	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_n.jpg	https://www.flickr.com/photos/30474783@N06/35315830401/in/album-72157682273620622		https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_n.jpg			pink	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_c.jpg	https://c1.staticflickr.com/5/4205/35315830401_03540a00bb_h.jpg	https://c1.staticflickr.com/5/4205/35315830401_88cdb956f1_k.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_b.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5.jpg	https://c1.staticflickr.com/5/4205/35315830401_5c8bdb465b_o.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_q.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_m.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_s.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_t.jpg	https://c1.staticflickr.com/5/4205/35315830401_2b244fb3a5_z.jpg	12:00:00 AM
