folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	WorkingTheMesa	Ken stops for a view along the mesa edge	35.7624527777778	-106.209411111111	https://c5.staticflickr.com/6/5632/30811013460_b62a922e50_q.jpg	https://www.flickr.com/photos/139088815@N08/30811013460/in/album-72157675319923312	2016:08:23 10:27:45	https://c5.staticflickr.com/6/5632/30811013460_b62a922e50_n.jpg			orange
Folder1	SurveyingTheView	Tom scopes out the situation before descending a bit	35.7640527777778	-106.212233333333	https://c4.staticflickr.com/6/5672/31178297395_8a1d4594f4_q.jpg	https://www.flickr.com/photos/139088815@N08/31178297395/in/album-72157675319923312	2016:08:23 10:43:36	https://c4.staticflickr.com/6/5672/31178297395_8a1d4594f4_n.jpg			orange
Folder1	SangreDeCristos	Heading out on FR24 is scenic but a very rough road	35.747975	-106.192994444444	https://c1.staticflickr.com/6/5727/31034935072_073803376d_q.jpg	https://www.flickr.com/photos/139088815@N08/31034935072/in/album-72157675319923312	2016:08:23 11:46:12	https://c1.staticflickr.com/6/5727/31034935072_073803376d_n.jpg			orange
Folder1	PowerlineRoad	Access to the mesa via the powerline road	35.7589861111111	-106.203219444444	https://c8.staticflickr.com/6/5679/30371288223_12a7e38535_q.jpg	https://www.flickr.com/photos/139088815@N08/30371288223/in/album-72157675319923312	2016:08:23 09:32:31	https://c8.staticflickr.com/6/5679/30371288223_12a7e38535_n.jpg			orange
Folder1	PajaritoView	The Pajarito Plateau abounds with great views	35.7641361111111	-106.208633333333	https://c7.staticflickr.com/6/5745/31142536806_75b096f514_q.jpg	https://www.flickr.com/photos/139088815@N08/31142536806/in/album-72157675319923312	2016:08:23 10:08:01	https://c7.staticflickr.com/6/5745/31142536806_75b096f514_n.jpg			orange
Folder1	DesertLife	Cactus and trees blend in a gorgeous setting	35.7625305555556	-106.209769444444	https://c5.staticflickr.com/6/5720/31142556676_287c5cbb32_q.jpg	https://www.flickr.com/photos/139088815@N08/31142556676/in/album-72157675319923312	2016:08:23 10:31:02	https://c5.staticflickr.com/6/5720/31142556676_287c5cbb32_n.jpg			orange
