folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	RedondoView	Redondo Peak from the trail	35.8208277777778	-106.560075	https://c5.staticflickr.com/9/8416/29021770516_02b2e8ac70.jpg	https://www.flickr.com/photos/139088815@N08/29021770516/in/photostream/	2016:08:16 14:03:39	https://c5.staticflickr.com/9/8416/29021770516_02b2e8ac70_n.jpg
Folder1	PresidingOverTheDomain	Bill overlooks the Las Conchas terminus	35.8252027777778	-106.5513	https://c7.staticflickr.com/9/8120/29021775766_36547bd65d.jpg	https://www.flickr.com/photos/139088815@N08/29021775766/in/photostream/	2016:08:16 15:00:35	https://c7.staticflickr.com/9/8120/29021775766_36547bd65d_n.jpg
Folder1	MtnGoat	Tom ascends yet another summit	35.8249638888889	-106.550863888889	https://c5.staticflickr.com/9/8235/28768226500_dfbd363f35.jpg	https://www.flickr.com/photos/139088815@N08/28768226500/in/photostream/	2016:08:16 14:49:25	https://c5.staticflickr.com/9/8235/28768226500_dfbd363f35_n.jpg
Folder1	FromEastForkTrailhead	Tom &amp; Lorrie forge ahead on East Fork	35.8209388888889	-106.584572222222	https://c8.staticflickr.com/9/8220/28436866343_787aeac652.jpg	https://www.flickr.com/photos/139088815@N08/28436866343/in/photostream/	2016:08:16 13:07:46	https://c8.staticflickr.com/9/8220/28436866343_787aeac652_n.jpg
Folder1	ExploringJemez	Karen and Paget explore the Jemez River closeup	35.8249361111111	-106.550872222222	https://c1.staticflickr.com/9/8140/29021791616_c70ec9c8dc.jpg	https://www.flickr.com/photos/139088815@N08/29021791616/in/photostream/	2016:08:16 14:56:12	https://c1.staticflickr.com/9/8140/29021791616_c70ec9c8dc_n.jpg
Folder1	ConchasLongView	Beautiful view of the Las Conchas valley	35.8251638888889	-106.551313888889	https://c6.staticflickr.com/9/8117/28978334981_8e21e00203.jpg	https://www.flickr.com/photos/139088815@N08/28978334981/in/photostream/	2016:08:16 14:53:45	https://c6.staticflickr.com/9/8117/28978334981_8e21e00203_n.jpg
Folder1	BackpackRack	A convenient storage location	35.8248833333333	-106.55085	https://c4.staticflickr.com/9/8054/28978342331_58e0da4d73.jpg	https://www.flickr.com/photos/139088815@N08/28978342331/in/photostream/	2016:08:16 14:55:40	https://c4.staticflickr.com/9/8054/28978342331_58e0da4d73_n.jpg
