desc	name	album-link	date	n-size
Trailhead	From the Visitor Center	https://www.flickr.com/photos/139088815@N08/26980047584/in/album-72157669594168785	2013:04:24 15:39:42	https://c1.staticflickr.com/8/7411/26980047584_c9ea1ecb24_n.jpg
RuinsView	Ruins in the rearview	https://www.flickr.com/photos/139088815@N08/27313152020/in/album-72157669594168785	2015:05:28 13:23:53	https://c5.staticflickr.com/8/7118/27313152020_9059190cfe_n.jpg
RockHomes	Embedded holes permeate the area	https://www.flickr.com/photos/139088815@N08/27313161460/in/album-72157669594168785	2013:04:24 15:59:05	https://c5.staticflickr.com/8/7660/27313161460_d82ea4bcae_n.jpg
ParkEntrance	On the road in, a preview of Pajarito Canyon	https://www.flickr.com/photos/139088815@N08/27313164970/in/album-72157669594168785	2005:06:27 13:32:41	https://c3.staticflickr.com/8/7328/27313164970_572228b0ab_n.jpg
OurNiche	Accessible cave dwellings	https://www.flickr.com/photos/139088815@N08/26981181193/in/album-72157669594168785	2005:06:27 17:44:12	https://c2.staticflickr.com/8/7380/26981181193_e473c33fba_n.jpg
LongHouse	A long view of Long House	https://www.flickr.com/photos/139088815@N08/27589988995/in/album-72157669594168785	2013:04:24 16:02:51	https://c4.staticflickr.com/8/7306/27589988995_43112d1254_n.jpg
GroundLevel	Approaching the remains of the ancient homes	https://www.flickr.com/photos/139088815@N08/27517271601/in/album-72157669594168785	2005:06:27 17:33:40	https://c2.staticflickr.com/8/7361/27517271601_2f1fb34753_n.jpg
