folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size
Folder1	butterflyheaven	butterflyheaven	35.813147222222	-105.77072222222	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_n.jpg	https://www.flickr.com/photos/30474783@N06/35096785084/in/album-72157686336913285	"2017:07:12 09:53:39"	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_n.jpg			fuchsia	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_c.jpg	https://c1.staticflickr.com/5/4329/35096785084_c9be708581_h.jpg	https://c1.staticflickr.com/5/4329/35096785084_c397a3d4c7_k.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_b.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60.jpg	https://c1.staticflickr.com/5/4329/35096785084_0d594ee09b_o.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_q.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_m.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_s.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_t.jpg	https://c1.staticflickr.com/5/4329/35096785084_04c23b3e60_z.jpg	"2017:07:12 16:2:27"
Folder1	IMG_20170712_095604	"Fuzzy mystery flower"	35.813058333333	-105.76982777778	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_n.jpg	https://www.flickr.com/photos/30474783@N06/35075877053/in/album-72157686336913285	"2017:07:12 09:56:06"	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_n.jpg			fuchsia	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_c.jpg	https://c1.staticflickr.com/5/4296/35075877053_37ba29096c_h.jpg	https://c1.staticflickr.com/5/4296/35075877053_1b7d943f63_k.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_b.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda.jpg	https://c1.staticflickr.com/5/4296/35075877053_48d4e910bf_o.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_q.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_m.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_s.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_t.jpg	https://c1.staticflickr.com/5/4296/35075877053_d8b30fdbda_z.jpg	"2017:07:12 16:30:7"
Folder1	IMG_20170712_095840	Junction	35.812163888889	-105.76769722222	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_n.jpg	https://www.flickr.com/photos/30474783@N06/35075876373/in/album-72157686336913285	"2017:07:12 09:58:42"	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_n.jpg			fuchsia	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_c.jpg	https://c1.staticflickr.com/5/4306/35075876373_c759fe2208_h.jpg	https://c1.staticflickr.com/5/4306/35075876373_7a9afccc26_k.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_b.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8.jpg	https://c1.staticflickr.com/5/4306/35075876373_1057e7e798_o.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_q.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_m.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_s.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_t.jpg	https://c1.staticflickr.com/5/4306/35075876373_68280791e8_z.jpg	"2017:07:12 16:34:50"
Folder1	IMG_20170712_100231	"Tall trees"	35.812258333333	-105.76683333333	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_n.jpg	https://www.flickr.com/photos/30474783@N06/35075875943/in/album-72157686336913285	"2017:07:12 10:02:32"	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_n.jpg			fuchsia	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_c.jpg	https://c1.staticflickr.com/5/4322/35075875943_9dda227356_h.jpg	https://c1.staticflickr.com/5/4322/35075875943_126889cd44_k.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_b.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70.jpg	https://c1.staticflickr.com/5/4322/35075875943_cbffa5c987_o.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_q.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_m.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_s.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_t.jpg	https://c1.staticflickr.com/5/4322/35075875943_3485cd5a70_z.jpg	"2017:07:12 16:44:18"
Folder1	bigcolumbines	bigcolumbines	35.812138888889	-105.76535	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_n.jpg	https://www.flickr.com/photos/30474783@N06/35766517472/in/album-72157686336913285	"2017:07:12 10:09:01"	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_n.jpg			fuchsia	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_c.jpg	https://c1.staticflickr.com/5/4289/35766517472_33d5ad9384_h.jpg	https://c1.staticflickr.com/5/4289/35766517472_afb0805fe7_k.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_b.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1.jpg	https://c1.staticflickr.com/5/4289/35766517472_3a34eb85f7_o.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_q.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_m.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_s.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_t.jpg	https://c1.staticflickr.com/5/4289/35766517472_a6e0378cc1_z.jpg	"2017:07:12 16:45:43"
Folder1	IMG_20170712_103015	"Junction to Baldy"	35.813644444444	-105.76071944444	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_n.jpg	https://www.flickr.com/photos/30474783@N06/35075875323/in/album-72157686336913285	"2017:07:12 10:30:17"	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_n.jpg			fuchsia	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_c.jpg	https://c1.staticflickr.com/5/4212/35075875323_35fcf7d782_h.jpg	https://c1.staticflickr.com/5/4212/35075875323_59927ac2fc_k.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_b.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d.jpg	https://c1.staticflickr.com/5/4212/35075875323_8d3981953b_o.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_q.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_m.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_s.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_t.jpg	https://c1.staticflickr.com/5/4212/35075875323_0d1bbaac4d_z.jpg	"2017:07:12 16:47:25"
Folder1	nambemeadow	nambemeadow	35.813705555556	-105.76077222222	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_n.jpg	https://www.flickr.com/photos/30474783@N06/35766527022/in/album-72157686336913285	"2017:07:12 10:30:26"	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_n.jpg			fuchsia	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_c.jpg	https://c1.staticflickr.com/5/4306/35766527022_534c2e4564_h.jpg	https://c1.staticflickr.com/5/4306/35766527022_6ba679071e_k.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_b.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd.jpg	https://c1.staticflickr.com/5/4306/35766527022_2aa973e110_o.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_q.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_m.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_s.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_t.jpg	https://c1.staticflickr.com/5/4306/35766527022_40760c5ecd_z.jpg	"2017:07:12 18:17:16"
Folder1	IMG_20170712_103450	"Mountains Trees Sky"	35.813225	-105.75993333333	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_n.jpg	https://www.flickr.com/photos/30474783@N06/35075874963/in/album-72157686336913285	"2017:07:12 10:34:52"	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_n.jpg			fuchsia	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_c.jpg	https://c1.staticflickr.com/5/4209/35075874963_27746cdf95_h.jpg	https://c1.staticflickr.com/5/4209/35075874963_3833ce1c00_k.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_b.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7.jpg	https://c1.staticflickr.com/5/4209/35075874963_8eb0632935_o.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_q.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_m.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_s.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_t.jpg	https://c1.staticflickr.com/5/4209/35075874963_11e65256f7_z.jpg	"2017:07:12 18:22:32"
Folder1	IMG_20170712_104420	Wildflowers	35.81175	-105.75655	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_n.jpg	https://www.flickr.com/photos/30474783@N06/35075874473/in/album-72157686336913285	"2017:07:12 10:44:22"	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_n.jpg			fuchsia	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_c.jpg	https://c1.staticflickr.com/5/4217/35075874473_8c8953e14c_h.jpg	https://c1.staticflickr.com/5/4217/35075874473_263726da58_k.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_b.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725.jpg	https://c1.staticflickr.com/5/4217/35075874473_50d875ce1c_o.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_q.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_m.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_s.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_t.jpg	https://c1.staticflickr.com/5/4217/35075874473_444e9a0725_z.jpg	"2017:07:12 16:9:0"
Folder1	IMG_20170712_104548	"Junction turnaround point"	35.810761111111	-105.75514166667	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_n.jpg	https://www.flickr.com/photos/30474783@N06/35715829542/in/album-72157686336913285	"2017:07:12 10:45:50"	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_n.jpg			fuchsia	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_c.jpg	https://c1.staticflickr.com/5/4306/35715829542_6738c4ecdb_h.jpg	https://c1.staticflickr.com/5/4306/35715829542_756a34ffdc_k.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_b.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8.jpg	https://c1.staticflickr.com/5/4306/35715829542_2874d9312a_o.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_q.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_m.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_s.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_t.jpg	https://c1.staticflickr.com/5/4306/35715829542_da843138d8_z.jpg	"2017:07:12 15:53:39"
