desc	name	album-link	date	n-size
RuinsAndButte	From the interior looking out	https://www.flickr.com/photos/139088815@N08/27264799975/in/album-72157668823314186	2016:05:21 12:58:35	https://c8.staticflickr.com/8/7099/27264799975_d6b21ddb7b_n.jpg
Inside	Remnants of great walls	https://www.flickr.com/photos/139088815@N08/27264818605/in/album-72157668823314186	2016:05:21 12:53:30	https://c6.staticflickr.com/8/7380/27264818605_a529faee0d_n.jpg
Approach	Seen against the canyon walls	https://www.flickr.com/photos/139088815@N08/26989234640/in/album-72157668823314186	2016:05:21 12:51:33	https://c1.staticflickr.com/8/7339/26989234640_ce37deba0c_n.jpg
