desc	name	album-link	date	n-size
TopOfTheTrail	At the top, the view opens	https://www.flickr.com/photos/139088815@N08/27914807906/in/album-72157670328044815	2010:05:13 15:58:47	https://c3.staticflickr.com/8/7508/27914807906_e4abb79101_n.jpg
MonzanoSpring	Spring is coming to the Monzanos	https://www.flickr.com/photos/139088815@N08/27871752331/in/album-72157670328044815	2010:05:13 14:33:50	https://c4.staticflickr.com/8/7734/27871752331_4614b874cf_n.jpg
AlligatorJuniper	Interesting landmark tree	https://www.flickr.com/photos/139088815@N08/27871763261/in/album-72157670328044815	2010:05:13 14:52:45	https://c6.staticflickr.com/8/7412/27871763261_36e4266217_n.jpg
