desc	name	album-link	date	n-size
ValleyView	Overview of the valley from the mesa top	https://www.flickr.com/photos/139088815@N08/27510291712/in/album-72157669635072405	2013:04:24 14:40:09	https://c1.staticflickr.com/8/7341/27510291712_43770d7b42_n.jpg
Return	The trail descends slowly on the return leg	https://www.flickr.com/photos/139088815@N08/27332812030/in/album-72157669635072405	2011:05:27 16:59:08	https://c7.staticflickr.com/8/7715/27332812030_8762e46cf5_n.jpg
MesaTop	From the top, the view is great in every direction	https://www.flickr.com/photos/139088815@N08/27510303992/in/album-72157669635072405	2011:05:27 16:50:00	https://c1.staticflickr.com/8/7334/27510303992_342d171a18_n.jpg
MainFromAbove	The main features from above	https://www.flickr.com/photos/139088815@N08/27510317492/in/album-72157669635072405	2013:05:03 17:29:39	https://c5.staticflickr.com/8/7492/27510317492_69a349f797_n.jpg
DownView	Looking down from the mesa top	https://www.flickr.com/photos/139088815@N08/27536920721/in/album-72157669635072405	2011:05:27 16:40:00	https://c2.staticflickr.com/8/7251/27536920721_e79dd8e9b9_n.jpg
