desc	name	album-link	date	n-size
TrailFlowers	Penstemmon on the trail	https://www.flickr.com/photos/139088815@N08/27577209006/in/album-72157669136001962	2005:06:27 15:45:57	https://c7.staticflickr.com/8/7557/27577209006_849e264d21_n.jpg
LowerFalls	Lower Falls before the flood	https://www.flickr.com/photos/139088815@N08/27001849293/in/album-72157669136001962	2005:06:27 15:19:50	https://c6.staticflickr.com/8/7418/27001849293_34a984faeb_n.jpg
UpperFalls	Upper Falls before the flood	https://www.flickr.com/photos/139088815@N08/27511516762/in/album-72157669136001962	2005:06:27 15:11:30	https://c3.staticflickr.com/8/7367/27511516762_005fc51600_n.jpg
FallsTrail	Beautiful Falls Trail	https://www.flickr.com/photos/139088815@N08/27001855383/in/album-72157669136001962	2005:06:27 14:47:55	https://c8.staticflickr.com/8/7237/27001855383_ac7e3826e4_n.jpg
