desc	name	album-link	date	n-size
ViewFromSouth	Looking from the South End	https://www.flickr.com/photos/139088815@N08/26990271890/in/album-72157668825446256	2016:05:21 13:33:07	https://c3.staticflickr.com/8/7243/26990271890_23593edeff_n.jpg
Kivas	Several of many	https://www.flickr.com/photos/139088815@N08/27265895805/in/album-72157668825446256	2016:05:21 13:36:49	https://c6.staticflickr.com/8/7768/27265895805_e553e9ed55_n.jpg
Doors	In the interior	https://www.flickr.com/photos/139088815@N08/26990304130/in/album-72157668825446256	2016:05:21 13:18:32	https://c3.staticflickr.com/8/7520/26990304130_cc8bf5cd25_n.jpg
Approach	Bonito from the parking area	https://www.flickr.com/photos/139088815@N08/26990314770/in/album-72157668825446256	2016:05:21 13:17:04	https://c3.staticflickr.com/8/7434/26990314770_cd3f0bab1e_n.jpg
AgainstCanyon	Long view of Bonito	https://www.flickr.com/photos/139088815@N08/26660079063/in/album-72157668825446256	2016:05:21 13:41:22	https://c8.staticflickr.com/8/7428/26660079063_41a8b4bcf5_n.jpg
