folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	ShoulderShot	Overlooking the view	35.5965527777778	-107.096069444444	https://c7.staticflickr.com/8/7456/26622640574_eed25f8108.jpg	https://www.flickr.com/photos/139088815@N08/26622640574/in/photostream/	2015:04:19 12:22:52	https://c7.staticflickr.com/8/7456/26622640574_eed25f8108_n.jpg
Folder1	North	Overview from the shoulder	35.5974277777778	-107.093077777778	https://c6.staticflickr.com/8/7434/27160302981_fcb8caf2d7.jpg	https://www.flickr.com/photos/139088815@N08/27160302981/in/photostream/	2015:04:19 12:29:41	https://c6.staticflickr.com/8/7434/27160302981_fcb8caf2d7_n.jpg
Folder1	DoNotTry	Seasoned rock scramblers only!	35.5973027777778	-107.093627777778	https://c3.staticflickr.com/8/7117/26954198850_8d74d9661e.jpg	https://www.flickr.com/photos/139088815@N08/26954198850/in/photostream/	2016:05:20 12:03:46	https://c3.staticflickr.com/8/7117/26954198850_8d74d9661e_n.jpg
Folder1	CabezonTH	At the trailhead	35.5956527777778	-107.121733333333	https://c8.staticflickr.com/8/7272/27229434935_995b23f8ce.jpg	https://www.flickr.com/photos/139088815@N08/27229434935/in/photostream/	2015:04:19 11:16:47	https://c8.staticflickr.com/8/7272/27229434935_995b23f8ce_n.jpg
Folder1	BillR	Bill surveys view at the shoulder	35.5956583333333	-107.101922222222	https://c2.staticflickr.com/8/7319/26623818993_c919eb3bee.jpg	https://www.flickr.com/photos/139088815@N08/26623818993/in/photostream/	2016:05:20 11:34:48	https://c2.staticflickr.com/8/7319/26623818993_c919eb3bee_n.jpg
Folder1	BillAscent2	Getting higher	35.595775	-107.100044444444	https://c4.staticflickr.com/8/7455/26623833043_1767935dd0.jpg	https://www.flickr.com/photos/139088815@N08/26623833043/in/photostream/	2015:04:19 11:52:19	https://c4.staticflickr.com/8/7455/26623833043_1767935dd0_n.jpg
Folder1	BillAscent1	Not far from the Trailhead	35.5957861111111	-107.102255555556	https://c1.staticflickr.com/8/7290/26622699064_5230fd5629.jpg	https://www.flickr.com/photos/139088815@N08/26622699064/in/photostream/	2015:04:19 11:43:56	https://c1.staticflickr.com/8/7290/26622699064_5230fd5629_n.jpg
