desc	name	album-link	date	n-size
KletsoWalls	Kletso on the approach	https://www.flickr.com/photos/139088815@N08/26667133513/in/album-72157668542309892	2016:05:21 14:07:50	https://c2.staticflickr.com/8/7342/26667133513_c01dca6788_n.jpg
KinKletso	From the canyon wall	https://www.flickr.com/photos/139088815@N08/27176028682/in/album-72157668542309892	2016:05:21 14:10:08	https://c3.staticflickr.com/8/7286/27176028682_325f743bdb_n.jpg
AboveKletso	Viewed from above on the canyon rim	https://www.flickr.com/photos/139088815@N08/26997279590/in/album-72157668542309892	2016:05:21 14:21:37	https://c7.staticflickr.com/8/7398/26997279590_9afcd47c9f_n.jpg
