desc	name	album-link	date	n-size
Spaceman	Where did he come from?	https://www.flickr.com/photos/139088815@N08/27749655365/in/album-72157669829880176	2013:04:13 12:01:23	https://c6.staticflickr.com/8/7596/27749655365_be735822a3_n.jpg
PlentifulGlyphs	One of the more highly decorated	https://www.flickr.com/photos/139088815@N08/27675118841/in/album-72157669829880176	2014:10:16 11:33:54	https://c2.staticflickr.com/8/7455/27675118841_6f3d5420ab_n.jpg
Jackalope	A creation of the mind	https://www.flickr.com/photos/139088815@N08/27675142931/in/album-72157669829880176	2013:04:13 11:04:23	https://c4.staticflickr.com/8/7381/27675142931_f2ce580888_n.jpg
Hands	Symbols of human inhabitation	https://www.flickr.com/photos/139088815@N08/27675163871/in/album-72157669829880176	2013:04:13 11:07:49	https://c8.staticflickr.com/8/7637/27675163871_eefbf32dea_n.jpg
Guardian	One of many odd characters	https://www.flickr.com/photos/139088815@N08/27471569440/in/album-72157669829880176	2013:04:13 11:15:40	https://c1.staticflickr.com/8/7708/27471569440_48afb13862_n.jpg
FlatTrail	Easy, sandy, but exposed trail	https://www.flickr.com/photos/139088815@N08/27715628176/in/album-72157669829880176	2013:04:13 10:03:38	https://c1.staticflickr.com/8/7639/27715628176_3c3479b864_n.jpg
EthanAndGlyphs	Ethan visits and photographs the amazing	https://www.flickr.com/photos/139088815@N08/27649153302/in/album-72157669829880176	2015:10:09 13:17:58	https://c7.staticflickr.com/8/7391/27649153302_17650269ed_n.jpg
