folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	QuietCorner	Every corner of the lake supplies a beautiful view!	35.8004527777778	-105.776230555556	https://c7.staticflickr.com/8/7346/27904009206_193dfc575f.jpg	https://www.flickr.com/photos/139088815@N08/27904009206/in/photostream/	2015:08:13 11:18:10	https://c7.staticflickr.com/8/7346/27904009206_193dfc575f_n.jpg
Folder1	NorthEnd	Where the creek enters the lake	35.8004944444444	-105.777572222222	https://c2.staticflickr.com/8/7456/27324919633_6038453cbb.jpg	https://www.flickr.com/photos/139088815@N08/27324919633/in/photostream/	2015:08:13 11:07:02	https://c2.staticflickr.com/8/7456/27324919633_6038453cbb_n.jpg
Folder1	NamesakeCreek	A beautiful preview of the trail up to Nambe Lake	35.8065722222222	-105.785361111111	https://c5.staticflickr.com/8/7444/27325824164_f3ae40b52f.jpg	https://www.flickr.com/photos/139088815@N08/27325824164/in/photostream/	2015:08:13 09:59:01	https://c5.staticflickr.com/8/7444/27325824164_f3ae40b52f_n.jpg
Folder1	LakePeakView	Lake and Deception Peaks tower above the lake	35.800175	-105.776122222222	https://c6.staticflickr.com/8/7372/27324954453_1ebcb59350.jpg	https://www.flickr.com/photos/139088815@N08/27324954453/in/photostream/	2015:08:13 11:42:25	https://c6.staticflickr.com/8/7372/27324954453_1ebcb59350_n.jpg
Folder1	CliffSurroundings	Barren rock sets off Nambe Lake	35.8005444444444	-105.775733333333	https://c6.staticflickr.com/8/7245/27938133165_670c264514.jpg	https://www.flickr.com/photos/139088815@N08/27938133165/in/photostream/	2015:08:13 10:53:07	https://c6.staticflickr.com/8/7245/27938133165_670c264514_n.jpg
Folder1	AspenTrail	Gorgeous trail of aspens	35.8101694444444	-105.786277777778	https://c7.staticflickr.com/8/7345/27836774102_cdf1734156.jpg	https://www.flickr.com/photos/139088815@N08/27836774102/in/photostream/	2015:08:13 12:41:27	https://c7.staticflickr.com/8/7345/27836774102_cdf1734156_n.jpg
