folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	IMG_20170325_114709	Shadowed cliffs	35.8055083333	-106.1415861111	https://c1.staticflickr.com/3/2901/33649240505_3f2fb0ec15_n.jpg	https://www.flickr.com/photos/30474783@N06/33649240505/in/album-72157679869282641	2017:03:25 11:47:10	https://c1.staticflickr.com/3/2901/33649240505_3f2fb0ec15_n.jpg			teal
Folder1	IMG_20170325_120655	A view down the canyon	35.8055055556	-106.1439777778	https://c1.staticflickr.com/3/2882/33520102601_92e780bb26_n.jpg	https://www.flickr.com/photos/30474783@N06/33520102601/in/album-72157679869282641	2017:03:25 12:06:57	https://c1.staticflickr.com/3/2882/33520102601_92e780bb26_n.jpg			teal
Folder1	IMG_20170325_120740	The canyon floor from above	35.8055833333	-106.1438805556	https://c1.staticflickr.com/3/2838/33265570710_bc54980ed1_n.jpg	https://www.flickr.com/photos/30474783@N06/33265570710/in/album-72157679869282641	2017:03:25 12:07:41	https://c1.staticflickr.com/3/2838/33265570710_bc54980ed1_n.jpg			teal
Folder1	IMG_20170325_120905	Tall Bill looks northwest	35.8054333333	-106.1434583333	https://c1.staticflickr.com/4/3715/33492781122_bdbe101b7e_n.jpg	https://www.flickr.com/photos/30474783@N06/33492781122/in/album-72157679869282641	2017:03:25 12:09:06	https://c1.staticflickr.com/4/3715/33492781122_bdbe101b7e_n.jpg			teal
Folder1	IMG_20170325_121309	Tall Bill on the mesa top	35.8053638889	-106.14305	https://c1.staticflickr.com/4/3722/33608767726_860352615c_n.jpg	https://www.flickr.com/photos/30474783@N06/33608767726/in/album-72157679869282641	2017:03:25 12:13:10	https://c1.staticflickr.com/4/3722/33608767726_860352615c_n.jpg			teal
Folder1	IMG_20170325_124957	Cactus flower on the cliff	35.8042194444	-106.1432833333	https://c1.staticflickr.com/4/3696/33492722202_f6d4971e80_n.jpg	https://www.flickr.com/photos/30474783@N06/33492722202/in/album-72157679869282641	2017:03:25 12:49:58	https://c1.staticflickr.com/4/3696/33492722202_f6d4971e80_n.jpg			teal
Folder1	IMG_20170325_130119	Looking down at the two small mesas	35.8049305556	-106.1425194444	https://c1.staticflickr.com/3/2926/33520020551_b68f748e4d_n.jpg	https://www.flickr.com/photos/30474783@N06/33520020551/in/album-72157679869282641	2017:03:25 13:01:20	https://c1.staticflickr.com/3/2926/33520020551_b68f748e4d_n.jpg			teal
Folder1	IMG_20170325_132928	Heading down to the car	35.8011527778	-106.1392583333	https://c1.staticflickr.com/3/2948/32835637213_b06e29b3a7_n.jpg	https://www.flickr.com/photos/30474783@N06/32835637213/in/album-72157679869282641	2017:03:25 13:29:29	https://c1.staticflickr.com/3/2948/32835637213_b06e29b3a7_n.jpg			teal
