desc	name	album-link	date	n-size
Warrior	A fierce-looking figure	https://www.flickr.com/photos/139088815@N08/27651176212/in/album-72157669833765256	2015:12:20 11:25:28	https://c5.staticflickr.com/8/7179/27651176212_802052cba9_n.jpg
SpiralOfLife	One of many spirals found	https://www.flickr.com/photos/139088815@N08/27140892553/in/album-72157669833765256	2015:12:20 11:30:34	https://c2.staticflickr.com/8/7276/27140892553_039f178116_n.jpg
Nova	Could this be a supernova?	https://www.flickr.com/photos/139088815@N08/27473518560/in/album-72157669833765256	2015:12:20 11:16:19	https://c1.staticflickr.com/8/7536/27473518560_1685fee8d5_n.jpg
MultiMsg	Multiple messages from different times?	https://www.flickr.com/photos/139088815@N08/27140920763/in/album-72157669833765256	2015:12:20 11:28:01	https://c4.staticflickr.com/8/7422/27140920763_a2b55fb410_n.jpg
