desc	name	album-link	date	n-size
SunlitBush	Autumn sun provides a unique look	https://www.flickr.com/photos/139088815@N08/27438107701/in/album-72157669429537095	2013:11:01 14:35:26	https://c6.staticflickr.com/8/7387/27438107701_4f22f29c39_n.jpg
SandiaView	From the trail, the Sandia to the south	https://www.flickr.com/photos/139088815@N08/27233801760/in/album-72157669429537095	2013:11:01 13:38:10	https://c1.staticflickr.com/8/7792/27233801760_af9a47ca8b_n.jpg
RoadIn	The dirt road in is also an interesting sight	https://www.flickr.com/photos/139088815@N08/27411486772/in/album-72157669429537095	2013:11:01 11:19:41	https://c5.staticflickr.com/8/7621/27411486772_5316cae392_n.jpg
LookingBack	From the trail, the hills...	https://www.flickr.com/photos/139088815@N08/26901120764/in/album-72157669429537095	2013:11:01 12:14:20	https://c5.staticflickr.com/8/7391/26901120764_811db10bb2_n.jpg
CoolDayWalk	Trails weave through the hills	https://www.flickr.com/photos/139088815@N08/26901142144/in/album-72157669429537095	2013:11:01 14:16:36	https://c1.staticflickr.com/8/7385/26901142144_9a196e3092_n.jpg
CerrillosHills	The state park near the so-called ghost town of Cerrillos	https://www.flickr.com/photos/139088815@N08/27411511582/in/album-72157669429537095	2013:11:01 12:44:38	https://c7.staticflickr.com/8/7479/27411511582_fcdf3fde9a_n.jpg
